timestamp,mac,rssi,origem
2025-04-05 15:31:17.002992,52:9f:14:d9:81:25,-71.0,-71 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:17.003599,50:8a:06:fc:81:4d,-53.0,-53 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:17.028772,54:4b:54:2b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:17.040175,56:4b:54:3b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:17.049206,dc:4f:22:fa:54:46,-71.0,-71 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:17.070211,30:cc:21:14:be:83,-17.0,-17 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:17.469290,54:4b:54:24:74:37,-81.0,-81 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:17.622233,a0:de:0f:60:67:88,-83.0,-83 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:18.003640,52:9f:14:d9:81:25,-70.0,-70 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:18.052752,54:4b:54:2b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:18.064191,56:4b:54:3b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:18.073333,a0:de:0f:60:67:8d,-84.0,-84 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:18.094117,30:cc:21:14:be:83,-16.0,-16 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:18.151320,22:55:7e:84:10:17,-72.0,-72 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:18.188596,74:ec:b2:78:e1:3e,-38.0,-38 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:18.343330,dc:4f:22:fa:54:46,-74.0,-74 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:18.608558,b8:c6:aa:72:e5:fa,-41.0,-41 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:18.873688,54:4b:54:24:74:37,-84.0,-84 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:18.914372,50:8a:06:fc:81:4d,-53.0,-53 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:19.008418,54:4b:54:24:74:37,-85.0,-85 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:19.015983,30:cc:21:14:be:83,-17.0,-17 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:19.022394,52:9f:14:d9:81:25,-76.0,-76 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:19.076761,54:4b:54:2b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:19.088212,56:4b:54:3b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:19.097851,a0:de:0f:60:67:8d,-87.0,-87 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:19.175112,50:8a:06:fc:81:4d,-53.0,-53 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:19.212723,dc:4f:22:fa:54:46,-71.0,-71 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:20.000342,54:4b:54:24:74:37,-83.0,-83 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:20.009794,56:4b:54:3b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:20.021635,52:9f:14:d9:81:25,-71.0,-71 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:20.039772,30:cc:21:14:be:83,-16.0,-16 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:20.040299,50:8a:06:fc:81:4d,-57.0,-57 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:20.100799,54:4b:54:2b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:20.116326,22:55:7e:84:10:17,-64.0,-64 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:20.121534,a0:de:0f:60:67:8d,-82.0,-82 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:20.330507,48:9a:5b:c7:f8:40,-82.0,-82 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:20.449657,6e:b5:d7:6d:c9:fa,-69.0,-69 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:20.880314,00:e0:20:5c:07:c5,-83.0,-83 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:21.001181,f0:a8:82:56:94:ae,-82.0,-82 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:21.005885,54:4b:54:2b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:21.029971,52:9f:14:d9:81:25,-69.0,-69 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:21.033120,30:cc:21:14:be:83,-16.0,-16 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:21.035449,56:4b:54:3b:84:8f,-61.0,-61 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:21.038842,22:55:7e:84:10:17,-66.0,-66 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:21.255177,54:4b:54:24:74:37,-79.0,-79 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:21.295769,50:8a:06:fc:81:4d,-53.0,-53 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:21.371273,b8:c6:aa:72:e5:fa,-41.0,-41 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:21.392312,00:e0:20:5c:07:c5,-80.0,-80 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:21.452736,a0:de:0f:60:67:8d,-83.0,-83 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:21.633387,da:a1:19:45:6d:bd,-75.0,-75 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:21.726036,da:a1:19:f5:c7:09,-75.0,-75 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.001829,54:4b:54:24:74:37,-84.0,-84 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.025185,52:9f:14:d9:81:25,-71.0,-71 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.046388,54:4b:54:2b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.058088,56:4b:54:3b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.066926,a0:de:0f:60:67:8d,-82.0,-82 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.087861,30:cc:21:14:be:83,-16.0,-16 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.144552,50:8a:06:fc:81:4d,-53.0,-53 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.145667,32:fa:bb:95:5e:e2,-70.0,-70 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.518706,00:e0:20:5c:07:c5,-84.0,-84 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:23.009386,30:cc:21:14:be:83,-16.0,-16 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:23.010240,50:8a:06:fc:81:4d,-53.0,-53 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:23.053244,52:9f:14:d9:81:25,-69.0,-69 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:23.070389,54:4b:54:2b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:23.081804,56:4b:54:3b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:23.398149,a0:de:0f:60:67:8d,-81.0,-81 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:23.405596,54:4b:54:24:74:37,-83.0,-83 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:23.626323,b8:c6:aa:72:e5:fa,-41.0,-41 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:23.823601,74:ec:b2:78:e1:3e,-38.0,-38 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:23.952322,00:e0:20:5c:07:c5,-84.0,-84 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:24.003421,56:4b:54:3b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:24.020241,54:4b:54:24:74:37,-82.0,-82 dBm | Origem: Cliente desconhecido
